main-news,MSRpar,2012test,0,4.4,The problem likely will mean corrective changes before the shuttle fleet starts flying again.,He said the problem needs to be corrected before the space shuttle fleet is cleared to fly again.,,,,,,,,,,,
main-news,MSRpar,2012test,3,3.4,SEC Chairman William Donaldson said there is a building confidence out there that the cop is on the beat.,I think there's a building confidence that the cop is on the beat.,,,,,,,,,,,
main-news,MSRpar,2012test,5,4.6,Myanmar's pro-democracy leader Aung San Suu Kyi will return home late Friday but will remain in detention after recovering from surgery at a Yangon hospital,Myanmar's pro-democracy leader Aung San Suu Kyi will be kept under house arrest following her release from a hospital where she underwent surgery her personal physician said Friday.,,,,,,,,,,,
main-news,MSRpar,2012test,6,1.4,Darren Dopp a Spitzer spokesman declined to comment late Thursday.,John Heine a spokesman for the commission in Washington declined to comment on Mr. Spitzer's criticism.,,,,,,,,,,,
main-news,MSRpar,2012test,8,2,In afternoon trading in Europe France's CAC-40 advanced and Britain's FTSE 100 each gained 0.7 percent while Germany's DAX index rose 0.6 percent.,In Europe France's CAC-40 rose 1.3 percent Britain's FTSE 100 declined 0.2 percent and Germany's DAX index gained 0.6 percent.,,,,,,,,,,,
main-news,MSRpar,2012test,10,3.6,Sens. John Kerry and Bob Graham declined invitations to speak.,The no-shows were Sens. John Kerry of Massachusetts and Bob Graham of Florida.,,,,,,,,,,,
main-news,MSRpar,2012test,11,4.4,Page said it's also possible that genes on the Y chromosome may influence gender-specific differences in disease susceptibility.,He added that genes on the Y might play a role in influencing gender-specific differences in disease susceptibility.,,,,,,,,,,,
main-news,MSRpar,2012test,12,4.8,One of the most well studied facets of temperament is how people respond to novelty.,One of the defining and well-studied characteristics of temperament is how people react to novelty.,,,,,,,,,,,
main-news,MSRpar,2012test,13,4.6,But butterflies exposed to an earlier light cycle from 1am to 1pm orientated themselves towards the south-east.,But butterflies housed under an earlier light cycle But butterflies housed under an earlier light cycle 1 a.m. to 1 p.m. flew toward the southeast.,,,,,,,,,,,
main-news,MSRpar,2012test,17,2.8,Dunlap won both the swimsuit competition and the talent portion of the competition singing If I Could.,She won the talent portion singing If I Could and also won in evening wear.,,,,,,,,,,,
main-news,MSRpar,2012test,20,4,South Asia follows with 1.1 millions youths infected ƒ?? 62 percent of them female.,Of the 1.1 million infected in south Asia 62% are female.,,,,,,,,,,,
main-news,MSRpar,2012test,21,4.25,An hour later an Israeli helicopter fired missiles at a car in Gaza City killing two Hamas officials and at least five other people.,An hour later Israeli attack helicopters rained missiles on a car in Gaza City An hour later Israeli attack helicopters rained missiles on a car in Gaza City killing seven people Palestinian sources said.,,,,,,,,,,,
main-news,MSRpar,2012test,23,5,AAA spokesman Jerry Cheske said prices may have affected some plans but cheap hotel deals mitigated the effect.,AAA spokesman Jerry Cheske said prices might have affected some plans but cheap hotel deals made up for it.,,,,,,,,,,,
main-news,MSRpar,2012test,26,3.5,She countersued for $125 million saying Gruner & Jahr broke its contract with her by cutting her out of key editorial decisions.,She countersued for $125 million saying G+J broke its contract with her by cutting her out of key editorial decisions and manipulated the magazine's financial figures.,,,,,,,,,,,
main-news,MSRpar,2012test,27,2.5,The Standard Edition is $15 000 per processor or $300 per named user.,The Standard Edition One is a single processor version of the Oracle Standard Edition Database.,,,,,,,,,,,
